Designator,Mid X,Mid Y,Rotation,Layer
C1,139.7,-122.0,0.0,bottom
Groove,141.7,-129.825,0.0,top
JP1,139.0,-130.4,270.0,bottom
JP2,141.7,-130.4,270.0,bottom
JP3,144.4,-130.40038,270.0,bottom
LED_GREEN,141.775,-116.0,0.0,top
LED_RED,141.775,-92.0,0.0,top
LED_YELLOW,141.775,-104.0,0.0,top
Q1,145.5,-100.5,180.0,bottom
Q2,145.5,-96.3,180.0,bottom
Q3,145.5,-87.9,180.0,bottom
R1,139.7,-118.6,0.0,bottom
R2,140.1,-100.8,0.0,bottom
R3,140.0,-94.9,0.0,bottom
R4,150.475,-100.09,0.0,bottom
R5,150.475,-102.6,0.0,bottom
R6,150.475,-105.11,0.0,bottom
R7,133.5,-114.5,0.0,bottom
R8,133.5,-117.01,0.0,bottom
R9,133.5,-119.52,0.0,bottom
U1,141.595,-110.3,180.0,bottom
